Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2022-23,06-02-2023,Vallecano,Almeria,2,0,H,0,0,D
2022-23,10-02-2023,Cadiz,Girona,2,0,H,2,0,H
2022-23,11-02-2023,Almeria,Betis,2,3,A,1,2,A
2022-23,11-02-2023,Sevilla,Mallorca,2,0,H,2,0,H
2022-23,11-02-2023,Valencia,Ath Bilbao,1,2,A,1,1,D
2022-23,12-02-2023,Getafe,Vallecano,1,1,D,0,1,A
2022-23,12-02-2023,Celta,Ath Madrid,0,1,A,0,0,D
2022-23,12-02-2023,Valladolid,Osasuna,0,0,D,0,0,D
2022-23,12-02-2023,Villarreal,Barcelona,0,1,A,0,1,A
2022-23,13-02-2023,Espanol,Sociedad,2,3,A,0,1,A
2022-23,15-02-2023,Real Madrid,Elche,4,0,H,3,0,H
2022-23,17-02-2023,Girona,Almeria,6,2,H,4,0,H
2022-23,18-02-2023,Sociedad,Celta,1,1,D,1,0,H
2022-23,18-02-2023,Betis,Valladolid,2,1,H,2,1,H
2022-23,18-02-2023,Mallorca,Villarreal,4,2,H,2,1,H
2022-23,18-02-2023,Osasuna,Real Madrid,0,2,A,0,0,D
2022-23,19-02-2023,Elche,Espanol,0,1,A,0,0,D
2022-23,19-02-2023,Vallecano,Sevilla,1,1,D,0,1,A
2022-23,19-02-2023,Ath Madrid,Ath Bilbao,1,0,H,0,0,D
2022-23,19-02-2023,Barcelona,Cadiz,2,0,H,2,0,H
2022-23,20-02-2023,Getafe,Valencia,1,0,H,0,0,D
2022-23,24-02-2023,Elche,Betis,2,3,A,2,0,H
2022-23,25-02-2023,Espanol,Mallorca,2,1,H,1,1,D
2022-23,25-02-2023,Cadiz,Vallecano,1,0,H,0,0,D
2022-23,25-02-2023,Real Madrid,Ath Madrid,1,1,D,0,0,D
2022-23,25-02-2023,Valencia,Sociedad,1,0,H,1,0,H
2022-23,26-02-2023,Ath Bilbao,Girona,2,3,A,1,3,A
2022-23,26-02-2023,Celta,Valladolid,3,0,H,2,0,H
2022-23,26-02-2023,Almeria,Barcelona,1,0,H,1,0,H
2022-23,26-02-2023,Sevilla,Osasuna,2,3,A,0,1,A
2022-23,27-02-2023,Villarreal,Getafe,2,1,H,1,1,D
2022-23,03-03-2023,Sociedad,Cadiz,0,0,D,0,0,D
2022-23,04-03-2023,Getafe,Girona,3,2,H,3,0,H
2022-23,04-03-2023,Almeria,Villarreal,0,2,A,0,0,D
2022-23,04-03-2023,Mallorca,Elche,0,1,A,0,0,D
2022-23,04-03-2023,Ath Madrid,Sevilla,6,1,H,2,1,H
2022-23,05-03-2023,Valladolid,Espanol,2,1,H,1,0,H
2022-23,05-03-2023,Barcelona,Valencia,1,0,H,1,0,H
2022-23,05-03-2023,Vallecano,Ath Bilbao,0,0,D,0,0,D
2022-23,05-03-2023,Betis,Real Madrid,0,0,D,0,0,D
2022-23,06-03-2023,Osasuna,Celta,0,0,D,0,0,D
2022-23,10-03-2023,Cadiz,Getafe,2,2,D,1,0,H
2022-23,11-03-2023,Real Madrid,Espanol,3,1,H,2,1,H
2022-23,11-03-2023,Elche,Valladolid,1,1,D,0,1,A
2022-23,11-03-2023,Celta,Vallecano,3,0,H,0,0,D
2022-23,11-03-2023,Valencia,Osasuna,1,0,H,0,0,D
2022-23,12-03-2023,Mallorca,Sociedad,1,1,D,0,1,A
2022-23,12-03-2023,Sevilla,Almeria,2,1,H,1,1,D
2022-23,12-03-2023,Villarreal,Betis,1,1,D,0,1,A
2022-23,12-03-2023,Ath Bilbao,Barcelona,0,1,A,0,1,A
2022-23,13-03-2023,Girona,Ath Madrid,0,1,A,0,0,D
2022-23,17-03-2023,Valladolid,Ath Bilbao,1,3,A,0,1,A
2022-23,18-03-2023,Almeria,Cadiz,1,1,D,0,0,D
2022-23,18-03-2023,Vallecano,Girona,2,2,D,2,1,H
2022-23,18-03-2023,Espanol,Celta,1,3,A,0,2,A
2022-23,18-03-2023,Ath Madrid,Valencia,3,0,H,1,0,H
2022-23,19-03-2023,Betis,Mallorca,1,0,H,0,0,D
2022-23,19-03-2023,Osasuna,Villarreal,0,3,A,0,1,A
2022-23,19-03-2023,Sociedad,Elche,2,0,H,0,0,D
2022-23,19-03-2023,Getafe,Sevilla,2,0,H,0,0,D
2022-23,19-03-2023,Barcelona,Real Madrid,2,1,H,1,1,D
2022-23,31-03-2023,Mallorca,Osasuna,0,0,D,0,0,D
2022-23,01-04-2023,Girona,Espanol,2,1,H,0,0,D
2022-23,01-04-2023,Ath Bilbao,Getafe,0,0,D,0,0,D
2022-23,01-04-2023,Cadiz,Sevilla,0,2,A,0,0,D
2022-23,01-04-2023,Elche,Barcelona,0,4,A,0,1,A
2022-23,02-04-2023,Celta,Almeria,2,2,D,2,2,D
2022-23,02-04-2023,Real Madrid,Valladolid,6,0,H,4,0,H
2022-23,02-04-2023,Villarreal,Sociedad,2,0,H,0,0,D
2022-23,02-04-2023,Ath Madrid,Betis,1,0,H,0,0,D
2022-23,03-04-2023,Valencia,Vallecano,1,1,D,0,1,A
2022-23,07-04-2023,Sevilla,Celta,2,2,D,1,0,H
2022-23,08-04-2023,Osasuna,Elche,2,1,H,0,1,A
2022-23,08-04-2023,Espanol,Ath Bilbao,1,2,A,0,1,A
2022-23,08-04-2023,Sociedad,Getafe,2,0,H,1,0,H
2022-23,08-04-2023,Real Madrid,Villarreal,2,3,A,1,1,D
2022-23,09-04-2023,Valladolid,Mallorca,3,3,D,1,0,H
2022-23,09-04-2023,Betis,Cadiz,0,2,A,0,0,D
2022-23,09-04-2023,Almeria,Valencia,2,1,H,0,0,D
2022-23,09-04-2023,Vallecano,Ath Madrid,1,2,A,0,2,A
2022-23,10-04-2023,Barcelona,Girona,0,0,D,0,0,D
2022-23,14-04-2023,Vallecano,Osasuna,2,1,H,2,0,H
2022-23,15-04-2023,Villarreal,Valladolid,1,2,A,0,2,A
2022-23,15-04-2023,Ath Bilbao,Sociedad,2,0,H,1,0,H
2022-23,15-04-2023,Betis,Espanol,3,1,H,2,0,H
2022-23,15-04-2023,Cadiz,Real Madrid,0,2,A,0,0,D
2022-23,16-04-2023,Girona,Elche,2,0,H,1,0,H
2022-23,16-04-2023,Getafe,Barcelona,0,0,D,0,0,D
2022-23,16-04-2023,Ath Madrid,Almeria,2,1,H,2,1,H
2022-23,16-04-2023,Valencia,Sevilla,0,2,A,0,0,D
2022-23,17-04-2023,Celta,Mallorca,0,1,A,0,1,A
2022-23,21-04-2023,Espanol,Cadiz,0,0,D,0,0,D
2022-23,22-04-2023,Osasuna,Betis,3,2,H,3,1,H
2022-23,22-04-2023,Almeria,Ath Bilbao,1,2,A,0,1,A
2022-23,22-04-2023,Sociedad,Vallecano,2,1,H,0,0,D
2022-23,22-04-2023,Valladolid,Girona,1,0,H,1,0,H
2022-23,22-04-2023,Real Madrid,Celta,2,0,H,1,0,H
2022-23,23-04-2023,Elche,Valencia,0,2,A,0,2,A
2022-23,23-04-2023,Barcelona,Ath Madrid,1,0,H,1,0,H
2022-23,23-04-2023,Mallorca,Getafe,3,1,H,0,1,A
2022-23,23-04-2023,Sevilla,Villarreal,2,1,H,1,0,H
2022-23,25-04-2023,Cadiz,Osasuna,0,1,A,0,0,D
2022-23,25-04-2023,Girona,Real Madrid,4,2,H,2,1,H
2022-23,25-04-2023,Betis,Sociedad,0,0,D,0,0,D
2022-23,26-04-2023,Ath Madrid,Mallorca,3,1,H,1,1,D
2022-23,26-04-2023,Getafe,Almeria,1,2,A,0,1,A
2022-23,26-04-2023,Celta,Elche,1,0,H,0,0,D
2022-23,26-04-2023,Vallecano,Barcelona,2,1,H,1,0,H
2022-23,27-04-2023,Valencia,Valladolid,2,1,H,0,1,A
2022-23,27-04-2023,Villarreal,Espanol,4,2,H,0,1,A
2022-23,27-04-2023,Ath Bilbao,Sevilla,0,1,A,0,0,D
2022-23,28-04-2023,Osasuna,Sociedad,0,2,A,0,1,A
2022-23,29-04-2023,Elche,Vallecano,4,0,H,1,0,H
2022-23,29-04-2023,Real Madrid,Almeria,4,2,H,3,1,H
2022-23,29-04-2023,Barcelona,Betis,4,0,H,3,0,H
2022-23,30-04-2023,Cadiz,Valencia,2,1,H,1,0,H
2022-23,30-04-2023,Villarreal,Celta,3,1,H,2,1,H
2022-23,30-04-2023,Espanol,Getafe,1,0,H,1,0,H
2022-23,30-04-2023,Valladolid,Ath Madrid,2,5,A,1,3,A
2022-23,01-05-2023,Mallorca,Ath Bilbao,1,1,D,0,0,D
2022-23,01-05-2023,Sevilla,Girona,0,2,A,0,1,A
2022-23,02-05-2023,Almeria,Elche,2,1,H,1,0,H
2022-23,02-05-2023,Barcelona,Osasuna,1,0,H,0,0,D
2022-23,02-05-2023,Sociedad,Real Madrid,2,0,H,0,0,D
2022-23,03-05-2023,Valencia,Villarreal,1,1,D,0,0,D
2022-23,03-05-2023,Ath Madrid,Cadiz,5,1,H,2,0,H
2022-23,03-05-2023,Getafe,Celta,1,0,H,1,0,H
2022-23,04-05-2023,Girona,Mallorca,2,1,H,1,0,H
2022-23,04-05-2023,Sevilla,Espanol,3,2,H,1,2,A
2022-23,04-05-2023,Ath Bilbao,Betis,0,1,A,0,1,A
2022-23,04-05-2023,Vallecano,Valladolid,2,1,H,0,0,D
2022-23,12-05-2023,Mallorca,Cadiz,1,0,H,1,0,H
2022-23,13-05-2023,Sociedad,Girona,2,2,D,2,2,D
2022-23,13-05-2023,Osasuna,Almeria,3,1,H,0,0,D
2022-23,13-05-2023,Villarreal,Ath Bilbao,5,1,H,2,1,H
2022-23,13-05-2023,Real Madrid,Getafe,1,0,H,0,0,D
2022-23,14-05-2023,Celta,Valencia,1,2,A,0,1,A
2022-23,14-05-2023,Elche,Ath Madrid,1,0,H,1,0,H
2022-23,14-05-2023,Valladolid,Sevilla,0,3,A,0,0,D
2022-23,14-05-2023,Espanol,Barcelona,2,4,A,0,3,A
2022-23,15-05-2023,Betis,Vallecano,3,1,H,2,0,H
2022-23,19-05-2023,Cadiz,Valladolid,2,0,H,0,0,D
2022-23,20-05-2023,Girona,Villarreal,1,2,A,1,1,D
2022-23,20-05-2023,Ath Bilbao,Celta,2,1,H,1,0,H
2022-23,20-05-2023,Almeria,Mallorca,3,0,H,2,0,H
2022-23,20-05-2023,Getafe,Elche,1,1,D,1,1,D
2022-23,20-05-2023,Barcelona,Sociedad,1,2,A,0,1,A
2022-23,21-05-2023,Vallecano,Espanol,1,2,A,1,1,D
2022-23,21-05-2023,Ath Madrid,Osasuna,3,0,H,1,0,H
2022-23,21-05-2023,Valencia,Real Madrid,1,0,H,1,0,H
2022-23,21-05-2023,Sevilla,Betis,0,0,D,0,0,D
2022-23,23-05-2023,Celta,Girona,1,1,D,1,0,H
2022-23,23-05-2023,Sociedad,Almeria,1,0,H,1,0,H
2022-23,23-05-2023,Valladolid,Barcelona,3,1,H,2,0,H
2022-23,24-05-2023,Elche,Sevilla,1,1,D,1,1,D
2022-23,24-05-2023,Real Madrid,Vallecano,2,1,H,1,0,H
2022-23,24-05-2023,Villarreal,Cadiz,2,0,H,2,0,H
2022-23,24-05-2023,Betis,Getafe,0,1,A,0,0,D
2022-23,24-05-2023,Espanol,Ath Madrid,3,3,D,0,2,A
2022-23,25-05-2023,Mallorca,Valencia,1,0,H,0,0,D
2022-23,25-05-2023,Osasuna,Ath Bilbao,2,0,H,0,0,D
2022-23,27-05-2023,Sevilla,Real Madrid,1,2,A,1,1,D
2022-23,28-05-2023,Almeria,Valladolid,0,0,D,0,0,D
2022-23,28-05-2023,Ath Bilbao,Elche,0,1,A,0,0,D
2022-23,28-05-2023,Ath Madrid,Sociedad,2,1,H,1,0,H
2022-23,28-05-2023,Barcelona,Mallorca,3,0,H,2,0,H
2022-23,28-05-2023,Cadiz,Celta,1,0,H,0,0,D
2022-23,28-05-2023,Getafe,Osasuna,2,1,H,1,1,D
2022-23,28-05-2023,Girona,Betis,1,2,A,1,0,H
2022-23,28-05-2023,Valencia,Espanol,2,2,D,1,1,D
2022-23,28-05-2023,Vallecano,Villarreal,2,1,H,0,0,D
2022-23,04-06-2023,Mallorca,Vallecano,3,0,H,0,0,D
2022-23,04-06-2023,Osasuna,Girona,2,1,H,0,0,D
2022-23,04-06-2023,Real Madrid,Ath Bilbao,1,1,D,0,0,D
2022-23,04-06-2023,Sociedad,Sevilla,2,1,H,1,0,H
2022-23,04-06-2023,Villarreal,Ath Madrid,2,2,D,1,1,D
2022-23,04-06-2023,Betis,Valencia,1,1,D,1,0,H
2022-23,04-06-2023,Celta,Barcelona,2,1,H,1,0,H
2022-23,04-06-2023,Elche,Cadiz,1,1,D,0,1,A
2022-23,04-06-2023,Espanol,Almeria,3,3,D,1,1,D
2022-23,04-06-2023,Valladolid,Getafe,0,0,D,0,0,D
